iter	Passed	Remaining
602	55204	36345
603	55294	36252
604	55366	36148
605	55459	36057
606	55543	35961
607	55617	35858
608	55699	35761
609	55801	35676
610	55889	35582
611	55981	35491
612	56070	35398
613	56155	35303
614	56247	35211
615	56334	35117
616	56414	35019
617	56503	34926
618	56572	34821
619	56655	34724
620	56726	34620
621	56807	34522
622	56901	34433
623	56977	34332
624	57054	34232
625	57146	34141
626	57224	34042
627	57319	33953
628	57400	33856
629	57485	33761
630	57570	33666
631	57645	33565
632	57728	33469
633	57803	33369
634	57916	33290
635	58001	33195
636	58101	33109
637	58184	33013
638	58358	32969
639	58450	32878
640	58536	32784
641	58623	32690
642	58704	32593
643	58779	32492
644	58861	32396
645	58952	32305
646	59029	32206
647	59116	32112
648	59208	32021
649	59369	31967
650	59459	31876
651	59551	31785
652	59639	31691
653	59713	31591
654	59805	31500
655	59927	31425
656	60028	31339
657	60128	31252
658	60271	31187
659	60373	31101
660	60479	31017
661	60584	30933
662	60683	30844
663	60783	30757
664	60863	30660
665	60957	30570
666	61037	30473
667	61127	30380
668	61215	30287
669	61292	30188
670	61379	30094
671	61461	29998
672	61541	29902
673	61615	29802
674	61691	29703
675	61775	29608
676	61849	29508
677	61931	29413
678	61996	29309
679	62078	29213
680	62162	29118
681	62254	29027
682	62326	28927
683	62411	28833
684	62494	28738
685	62565	28637
686	62648	28542
687	62718	28441
688	62792	28343
689	62876	28248
690	62948	28149
691	63038	28057
692	63116	27960
693	63186	27860
694	63273	27767
695	63354	27671
696	63457	27586
697	63543	27492
698	63621	27396
699	63708	27303
700	63783	27205
701	63892	27122
702	63970	27025
703	64060	26934
704	64140	26838
705	64219	26743
706	64303	26649
707	64386	26554
708	64465	26458
709	64543	26362
710	64616	26264
711	64709	26174
712	64781	26076
713	64878	25987
714	64950	25889
715	65019	25789
716	65097	25694
717	65170	25596
718	65251	25501
719	65337	25409
720	65405	25309
721	65499	25220
722	65574	25123
723	65659	25030
724	65736	24934
725	65836	24847
726	65925	24755
727	66034	24672
728	66127	24582
729	66223	24493
730	66323	24406
731	66437	24324
732	66526	24232
733	66631	24147
734	66729	24058
735	66838	23974
736	66925	23882
737	67013	23790
738	67107	23701
739	67188	23606
740	67266	23511
741	67337	23413
742	67415	23318
743	67493	23223
744	67565	23126
745	67645	23032
746	67717	22934
747	67825	22850
748	67894	22752
749	67976	22658
750	68062	22566
751	68133	22469
752	68208	22373
753	68282	22277
754	68360	22183
755	68440	22089
756	68523	21996
757	68620	21908
758	68693	21811
759	68767	21715
760	68862	21627
761	68939	21532
762	69029	21441
763	69091	21342
764	69160	21245
765	69270	21160
766	69346	21066
767	69419	20970
768	69510	20880
769	69586	20785
770	69669	20693
771	69735	20595
772	69812	20501
773	69894	20408
774	69966	20312
775	70048	20220
776	70118	20124
777	70194	20029
778	70269	19935
779	70341	19839
780	70425	19747
781	70519	19658
782	70599	19565
783	70680	19473
784	70752	19378
785	70835	19285
786	70929	19196
787	71009	19104
788	71080	19008
789	71150	18913
790	71236	18822
791	71321	18730
792	71408	18640
793	71487	18547
794	71573	18456
795	71658	18364
796	71744	18273
797	71827	18181
798	71906	18089
799	71991	17997
800	72071	17905
801	72153	17813
802	72236	17721
803	72323	17631
804	72424	17543
805	72509	17452
806	72626	17369
807	72707	17277
808	72829	17194
809	72925	17105
810	73042	17022
811	73119	16929
812	73273	16853
813	73381	16767
814	73495	16683
815	73617	16599
816	73693	16506
817	73796	16419
818	73880	16327
819	73969	16237
820	74044	16143
821	74115	16049
822	74203	15958
823	74289	15867
824	74356	15772
825	74443	15681
826	74526	15590
827	74602	15497
828	74682	15404
829	74768	15314
830	74844	15221
831	74909	15125
832	74996	15035
833	75064	14940
834	75135	14847
835	75223	14756
836	75297	14663
837	75392	14574
838	75458	14480
839	75529	14386
840	75611	14295
841	75682	14201
842	75781	14113
843	75856	14020
844	75919	13925
845	76021	13838
846	76097	13746
847	76166	13652
848	76256	13562
849	76328	13469
850	76412	13378
851	76481	13285
852	76552	13192
853	76635	13101
854	76717	13010
855	76813	12921
856	76893	12830
857	76983	12740
858	77057	12648
859	77128	12555
860	77214	12465
861	77289	12373
862	77373	12282
863	77445	12190
864	77518	12098
865	77613	12009
866	77684	11917
867	77794	11830
868	77877	11739
869	77961	11649
870	78045	11558
871	78120	11467
872	78208	11377
873	78283	11285
874	78360	11194
875	78445	11104
876	78523	11012
877	78647	10928
878	78905	10861
879	79185	10798
880	79395	10724
881	79617	10651
882	79747	10566
883	79889	10483
884	79993	10394
885	80081	10303
886	80172	10213
887	80278	10125
888	80379	10036
889	80505	9950
890	80618	9862
891	80718	9773
892	80810	9682
893	80883	9590
894	80960	9498
895	81033	9405
896	81115	9314
897	81200	9223
898	81278	9131
899	81381	9042
900	81470	8951
901	81551	8860
902	81626	8768
903	81693	8675
904	81783	8585
905	81864	8493
906	81955	8403
907	82031	8311
908	82111	8220
909	82189	8128
910	82270	8037
911	82358	7946
912	82432	7854
913	82506	7763
914	82587	7672
915	82658	7580
916	82772	7491
